14,1,100,0,0,1,1,0,1,10000
1,2,4,7,8,9,16,17,18,19,20,21,22,23,24,25,26,27,28,7,8,10,11,16,17,18,19,20,21,22
23,24,25,26,27,28,7,8,12,13,16,17,18,19,20,21,22,23,24,25,26,27,28,7,8,10,11,16,17,18
19,20,21,22,23,24,25,26,27,28,7,8,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
3,1000,5
3000,1,40,9,444,0,0
3000,2,1.6,179,9,1,1,1
3000,3,5,10,9,444,0,89
5000,4,4.5,10,9,555,0,90
9000,4,1,1,9,555,0,90
4,1000,5
3000,1,40,9,444,0,0
3000,2,1.6,179,9,1,1,1
3000,3,5,4,9,444,0,86
5000,4,4.5,4,9,555,0,87
9000,4,1,1,9,555,0,87
5,1000,5
3000,1,40,9,444,0,0
3000,2,1.6,179,9,1,1,1
3000,3,5,5,9,444,0,92
5000,4,4.5,5,9,555,0,93
9000,4,1,1,9,555,0,93
6,1000,5
3000,1,40,9,444,0,0
3000,2,1.6,179,9,1,1,1
3000,3,5,4,9,444,0,86
5000,4,4.5,4,9,555,0,87
9000,4,1,1,9,555,0,87
7,1000,5
3000,1,40,9,444,0,0
4000,2,1.6,179,9,1,1,1
4000,2,2000,-2,9,1,1,40
3000,2,2000,-2,9,1,1,48
3000,3,5,4,9,444,0,88
5000,4,4.5,4,9,555,0,89
9000,4,1,1,9,555,0,89
8,1000,5
3000,1,40,9,444,0,0
4000,2,1.6,179,9,1,1,1
4000,2,2000,-3,9,1,1,4
4000,2,2000,-2,9,1,1,7
3000,2,2000,-3,9,1,1,21
3000,3,5,5,9,444,0,83
5000,4,4.5,5,9,555,0,84
9000,4,1,1,9,555,0,84
11,1000,5
3000,1,40,9,444,0,0
3000,2,1.6,179,9,1,1,1
3000,3,5,9,9,444,0,92
5000,4,4.5,9,9,555,0,93
9000,4,1,1,9,555,0,93
12,1000,5
3000,1,40,9,444,0,0
4000,2,1.6,179,9,1,1,1
3000,2,2000,-3,9,1,1,13
3000,3,5,3,9,444,0,89
5000,4,4.5,3,9,555,0,90
9000,4,1,1,9,555,0,90
14,1000,5
3000,1,40,9,444,0,0
4000,2,1.6,179,9,1,1,1
4000,2,2000,-3,9,1,1,8
4000,2,2000,-3,9,1,1,10
3000,2,2000,-2,9,1,1,84
3000,3,5,11,9,444,0,86
5000,4,4.5,11,9,555,0,87
9000,4,1,1,9,555,0,87
15,1000,5
3000,1,40,9,444,0,0
4000,2,1.6,179,9,1,1,1
3000,2,2000,-2,9,1,1,62
3000,3,5,12,9,444,0,99
5000,4,4.5,12,9,555,0,100
9000,4,1,1,9,555,0,100
16,1000,5
3000,1,40,9,444,0,0
4000,2,1.6,179,9,1,1,1
4000,2,2000,-2,9,1,1,2
3000,2,2000,-2,9,1,1,5
3000,3,5,12,9,444,0,114
5000,4,4.5,12,9,555,0,115
9000,4,1,1,9,555,0,115
19,1000,5
3000,1,40,9,444,0,0
3000,2,1.6,179,9,1,1,1
3000,3,5,6,9,444,0,91
5000,4,4.5,6,9,555,0,92
9000,4,1,1,9,555,0,92
20,1000,5
3000,1,40,9,444,0,0
3000,2,1.6,179,9,1,1,1
3000,3,5,9,9,444,0,90
5000,4,4.5,9,9,555,0,91
9000,4,1,1,9,555,0,91
21,1000,5
3000,1,40,9,444,0,0
3000,2,1.6,179,9,1,1,1
3000,3,5,2,9,444,0,82
5000,4,4.5,2,9,555,0,83
9000,4,1,1,9,555,0,83
22,1000,5
3000,1,40,9,444,0,0
3000,2,1.6,179,9,1,1,1
3000,3,5,9,9,444,0,92
5000,4,4.5,9,9,555,0,93
9000,4,1,1,9,555,0,93
23,1000,5
3000,1,40,9,444,0,0
3000,2,1.6,179,9,1,1,1
3000,3,5,12,9,444,0,86
5000,4,4.5,12,9,555,0,87
9000,4,1,1,9,555,0,87
25,1000,5
3000,1,40,9,444,0,0
4000,2,1.6,179,9,1,1,1
3000,2,2000,-2,9,1,1,62
3000,3,5,19,9,444,0,88
5000,4,4.5,19,9,555,0,89
9000,4,1,1,9,555,0,89
27,1000,5
3000,1,40,9,444,0,0
4000,2,1.6,179,9,1,1,1
4000,2,2000,-3,9,1,1,19
3000,2,2000,-2,9,1,1,33
3000,3,5,10,9,444,0,91
5000,4,4.5,10,9,555,0,92
9000,4,1,1,9,555,0,92
28,1000,5
3000,1,40,9,444,0,0
4000,2,1.6,179,9,1,1,1
3000,2,2000,-3,9,1,1,8
3000,3,5,5,9,444,0,84
5000,4,4.5,5,9,555,0,85
9000,4,1,1,9,555,0,85
29,1000,5
3000,1,40,9,444,0,0
4000,2,1.6,179,9,1,1,1
3000,2,2000,-3,9,1,1,4
3000,3,5,11,9,444,0,94
5000,4,4.5,11,9,555,0,95
9000,4,1,1,9,555,0,95
30,1000,5
3000,1,40,9,444,0,0
3000,2,1.6,179,9,1,1,1
3000,3,5,7,9,444,0,80
5000,4,4.5,7,9,555,0,81
9000,4,1,1,9,555,0,81
31,1000,5
3000,1,40,9,444,0,0
3000,2,1.6,179,9,1,1,1
3000,3,5,7,9,444,0,80
5000,4,4.5,7,9,555,0,81
9000,4,1,1,9,555,0,81
33,1000,5
3000,1,40,9,444,0,0
3000,2,1.6,179,9,1,1,1
3000,3,5,7,9,444,0,89
5000,4,4.5,7,9,555,0,90
9000,4,1,1,9,555,0,90
34,1000,5
3000,1,40,9,444,0,0
4000,2,1.6,179,9,1,1,1
3000,2,2000,-2,9,1,1,14
3000,3,5,18,9,444,0,89
5000,4,4.5,18,9,555,0,90
9000,4,1,1,9,555,0,90
35,1000,5
3000,1,40,9,444,0,0
3000,2,1.6,179,9,1,1,1
3000,3,5,2,9,444,0,88
5000,4,4.5,2,9,555,0,89
9000,4,1,1,9,555,0,89
36,1000,5
3000,1,40,9,444,0,0
4000,2,1.6,179,9,1,1,1
3000,2,2000,-3,9,1,1,13
3000,3,5,4,9,444,0,85
5000,4,4.5,4,9,555,0,86
9000,4,1,1,9,555,0,86
39,1000,5
3000,1,40,9,444,0,0
4000,2,1.6,179,9,1,1,1
3000,2,2000,-3,9,1,1,4
3000,3,5,8,9,444,0,83
5000,4,4.5,8,9,555,0,84
9000,4,1,1,9,555,0,84
40,1000,5
3000,1,40,9,444,0,0
4000,2,1.6,179,9,1,1,1
4000,2,2000,-2,9,1,1,18
3000,2,2000,-2,9,1,1,22
3000,3,5,10,9,444,0,86
5000,4,4.5,10,9,555,0,87
9000,4,1,1,9,555,0,87
41,1000,5
3000,1,40,9,444,0,0
4000,2,1.6,179,9,1,1,1
3000,2,2000,-3,9,1,1,14
3000,3,5,1,9,444,0,83
5000,4,4.5,1,9,555,0,84
9000,4,1,1,9,555,0,84
42,1000,5
3000,1,40,9,444,0,0
4000,2,1.6,179,9,1,1,1
3000,2,2000,-3,9,1,1,11
3000,3,5,3,9,444,0,89
